price,vehicleType,yearOfRegistration,gearbox,kilometer,monthOfRegistration,fuelType,notRepairedDamage
2222,coupe,1999,automatic,150000,12,petrol,no
599,small_car,1995,manual,150000,8,petrol,no
6150,convertible,2004,manual,80000,12,petrol,no
1999,small_car,2004,manual,125000,10,petrol,no
2600,small_car,2002,manual,150000,3,petrol,no
6989,small_car,2011,manual,100000,5,petrol,no
1199,small_car,2008,manual,80000,8,petrol,yes
3500,suv,2004,automatic,150000,6,diesel,yes
1149,small_car,1999,manual,150000,4,petrol,no
3890,small_car,2010,manual,80000,6,petrol,no
4900,small_car,2006,manual,80000,12,petrol,no
249,coupe,1996,manual,150000,0,petrol,no
2799,small_car,2003,automatic,150000,5,diesel,no
9000,convertible,2005,automatic,80000,1,petrol,no
7500,convertible,2002,manual,150000,4,petrol,no
1100,small_car,1999,manual,150000,0,petrol,no
8880,suv,1995,automatic,150000,3,petrol,yes
550,small_car,1999,manual,150000,8,petrol,yes
1750,small_car,2003,manual,150000,9,petrol,no
850,small_car,1995,manual,150000,11,petrol,no
1600,convertible,1996,manual,150000,4,petrol,no
3350,coupe,2005,manual,90000,11,petrol,no
7750,small_car,2011,manual,90000,5,diesel,no
8399,coupe,2002,automatic,150000,5,petrol,no
9600,suv,2006,manual,150000,12,diesel,no
3300,suv,1996,automatic,150000,1,petrol,no
4444,small_car,2007,manual,125000,8,petrol,no
2950,convertible,2004,automatic,125000,6,petrol,no
2200,small_car,2003,manual,60000,8,diesel,no
298,small_car,1995,manual,150000,2,petrol,no
4990,convertible,2001,manual,150000,1,petrol,no
500,small_car,2004,manual,150000,10,petrol,no
1150,small_car,2001,automatic,150000,12,petrol,no
750,small_car,1999,manual,150000,4,petrol,no
3250,convertible,1992,manual,150000,6,petrol,no
9999,coupe,2008,manual,150000,8,diesel,no
6500,convertible,2004,manual,150000,5,petrol,no
1299,small_car,2002,manual,150000,4,petrol,no
2799,small_car,2006,manual,150000,8,petrol,no
1200,small_car,1999,manual,150000,5,petrol,no
150,small_car,1997,manual,150000,1,petrol,yes
799,small_car,1999,manual,150000,10,petrol,no
650,small_car,1999,manual,150000,6,petrol,no
9250,small_car,2012,automatic,50000,12,diesel,no
799,small_car,1999,manual,150000,10,petrol,no
1200,small_car,1998,manual,150000,7,petrol,no
5500,coupe,2000,manual,150000,1,petrol,no
5500,small_car,2010,manual,50000,7,petrol,no
4000,convertible,2005,manual,90000,1,petrol,no
160,small_car,1999,manual,150000,10,petrol,no
6200,coupe,2007,manual,150000,9,diesel,no
8500,convertible,2002,manual,100000,7,petrol,no
3850,small_car,2009,manual,125000,6,petrol,no
8000,small_car,2009,manual,80000,5,petrol,no
2500,small_car,2006,manual,150000,0,petrol,yes
4999,convertible,2003,manual,150000,3,petrol,no
4900,small_car,2010,manual,100000,11,petrol,no
5799,suv,2002,automatic,150000,9,petrol,no
3500,small_car,2004,manual,80000,11,petrol,no
800,small_car,1999,manual,90000,5,petrol,no
2850,suv,2002,manual,150000,9,diesel,no
1600,small_car,1999,manual,150000,6,petrol,no
850,small_car,2005,manual,150000,11,petrol,no
4690,small_car,2006,manual,125000,4,petrol,no
900,small_car,1999,manual,150000,7,petrol,no
500,convertible,1998,manual,150000,3,petrol,yes
2200,small_car,2000,manual,150000,3,diesel,no
3790,small_car,2006,manual,50000,2,petrol,no
6700,small_car,2013,automatic,70000,3,petrol,no
899,coupe,1996,manual,150000,10,petrol,yes
2699,small_car,2007,manual,125000,5,petrol,no
250,small_car,2000,manual,150000,2,petrol,yes
1300,small_car,2003,manual,150000,11,petrol,no
4550,small_car,2008,manual,125000,9,petrol,no
6000,small_car,2009,manual,60000,5,petrol,no
3680,small_car,2009,manual,100000,8,petrol,no
550,coupe,1995,automatic,150000,6,petrol,no
4800,convertible,1997,manual,150000,2,petrol,no
1199,convertible,1997,manual,150000,11,petrol,no
3000,small_car,2006,manual,125000,11,petrol,no
1100,small_car,1999,manual,100000,9,petrol,no
2800,small_car,2005,manual,125000,3,petrol,no
3500,small_car,2004,manual,100000,9,petrol,no
1600,small_car,2003,manual,150000,12,petrol,no
4590,small_car,2007,manual,60000,12,petrol,no
6950,suv,2003,manual,125000,10,diesel,no
1000,small_car,2004,manual,150000,9,petrol,no
200,small_car,1996,manual,150000,3,petrol,yes
3350,suv,2002,manual,150000,9,petrol,no
2350,convertible,2002,manual,150000,4,petrol,no
1350,coupe,1996,automatic,150000,10,petrol,no
1495,small_car,2001,manual,150000,9,petrol,no
1650,small_car,2005,manual,100000,2,petrol,no
5450,coupe,2002,manual,150000,10,petrol,no
899,small_car,2002,manual,125000,6,petrol,no
6500,small_car,2008,manual,80000,6,petrol,no
890,small_car,2001,manual,150000,3,petrol,no
1250,small_car,1998,manual,150000,3,petrol,no
4500,small_car,2005,automatic,100000,0,petrol,no
3400,suv,2000,manual,150000,2,petrol,no
7490,convertible,2009,manual,50000,6,petrol,no
3300,small_car,2004,manual,150000,10,petrol,no
850,small_car,1999,manual,150000,7,petrol,no
4450,convertible,2003,manual,150000,8,petrol,no
950,small_car,2000,manual,125000,8,petrol,no
4960,convertible,2004,automatic,150000,0,petrol,no
2199,small_car,2003,manual,90000,2,petrol,no
700,small_car,1998,manual,125000,4,petrol,no
3700,small_car,2009,manual,150000,6,petrol,no
1490,small_car,2007,manual,150000,8,petrol,yes
5000,suv,2006,manual,150000,1,diesel,yes
2499,small_car,2011,manual,60000,9,petrol,no
9000,coupe,2005,manual,150000,4,diesel,no
8999,suv,2005,automatic,150000,8,diesel,no
3000,small_car,2006,manual,70000,4,petrol,no
500,small_car,1999,manual,150000,12,petrol,no
1199,small_car,1996,manual,125000,8,petrol,no
1100,small_car,2001,manual,150000,8,petrol,no
4400,small_car,2000,manual,150000,11,diesel,no
1400,small_car,2005,manual,150000,10,petrol,no
1200,coupe,2001,manual,150000,7,petrol,no
5900,small_car,2008,manual,50000,8,petrol,no
400,small_car,1997,manual,100000,10,petrol,no
1680,small_car,2002,manual,125000,4,petrol,no
1100,small_car,2004,manual,150000,3,petrol,no
1000,small_car,2001,manual,150000,7,petrol,yes
7790,convertible,2008,manual,150000,7,petrol,no
999,small_car,1998,manual,100000,0,petrol,no
450,small_car,1999,manual,125000,7,petrol,no
3000,small_car,2005,manual,150000,9,petrol,no
350,small_car,1997,manual,150000,0,petrol,yes
6999,small_car,2003,manual,125000,9,petrol,no
2250,small_car,2006,manual,150000,10,petrol,no
1150,small_car,1999,manual,150000,2,petrol,no
3300,small_car,2009,manual,90000,3,petrol,no
1380,small_car,2006,manual,80000,4,petrol,no
2500,convertible,2003,manual,150000,3,petrol,no
200,small_car,1997,manual,150000,0,petrol,yes
3000,coupe,2007,manual,150000,3,diesel,yes
1300,convertible,1995,manual,125000,7,petrol,no
5100,convertible,2006,manual,80000,9,petrol,no
8250,small_car,2013,manual,20000,6,petrol,no
2250,small_car,2003,manual,100000,7,petrol,no
2999,small_car,2006,manual,150000,3,diesel,no
1500,small_car,2001,manual,125000,8,petrol,no
9700,small_car,2010,manual,90000,5,petrol,no
1845,convertible,2001,automatic,80000,6,petrol,no
7299,small_car,2010,manual,70000,2,petrol,no
400,small_car,2000,manual,150000,8,petrol,yes
3500,small_car,2005,manual,60000,8,petrol,no
7800,small_car,2010,manual,70000,12,petrol,no
6199,coupe,2008,manual,90000,5,petrol,no
2999,convertible,2003,manual,150000,3,petrol,no
799,small_car,1999,manual,150000,6,petrol,no
6000,small_car,2010,manual,70000,4,petrol,no
1100,small_car,2002,manual,30000,4,petrol,no
3600,small_car,2007,manual,150000,11,diesel,no
4700,small_car,2006,manual,50000,1,petrol,no
3799,small_car,2007,manual,100000,8,petrol,no
1150,small_car,2001,manual,150000,6,petrol,no
1100,small_car,2000,manual,150000,3,petrol,no
650,coupe,1994,manual,150000,11,petrol,no
7499,coupe,2006,manual,100000,4,diesel,no
6250,small_car,2008,manual,150000,6,diesel,no
6199,small_car,2008,manual,125000,8,diesel,no
700,small_car,1998,manual,150000,11,petrol,no
590,small_car,2003,manual,150000,4,petrol,no
3000,small_car,2004,manual,90000,6,petrol,no
850,convertible,1996,manual,150000,9,petrol,yes
3600,convertible,2005,manual,150000,3,petrol,yes
1000,small_car,1999,manual,150000,4,petrol,no
3900,small_car,2006,manual,100000,4,petrol,no
7052,small_car,2013,manual,30000,2,petrol,no
1899,convertible,1995,manual,150000,6,petrol,no
2999,small_car,2000,manual,80000,2,petrol,no
2400,small_car,2003,manual,150000,3,petrol,no
6890,small_car,2012,manual,40000,2,petrol,no
2190,small_car,2003,manual,150000,6,petrol,no
1549,small_car,2001,manual,150000,9,petrol,no
7950,convertible,2005,manual,150000,6,petrol,no
5500,convertible,1995,manual,125000,8,petrol,no
4750,small_car,2010,manual,30000,1,petrol,no
890,small_car,2002,manual,150000,10,petrol,no
2899,small_car,2007,manual,150000,10,petrol,no
7777,suv,2001,automatic,150000,3,petrol,no
7650,suv,2006,automatic,150000,6,diesel,no
9580,suv,2008,manual,150000,8,diesel,no
1500,small_car,2001,manual,150000,3,petrol,no
199,small_car,1996,manual,70000,7,petrol,yes
3900,small_car,2014,manual,10000,10,petrol,yes
3400,small_car,2008,manual,90000,8,petrol,no
3200,convertible,2002,manual,150000,6,petrol,no
600,small_car,1998,manual,150000,12,petrol,no
4550,coupe,1999,automatic,150000,11,petrol,no
1900,small_car,2003,manual,150000,5,petrol,no
4200,convertible,2000,manual,125000,5,petrol,no
3850,small_car,2004,manual,50000,7,petrol,no
5499,small_car,2010,manual,80000,2,petrol,no
2300,small_car,2000,automatic,30000,11,petrol,no
1690,small_car,2004,manual,150000,3,petrol,no
1099,small_car,1999,manual,125000,8,petrol,no
500,small_car,1997,manual,150000,8,petrol,no
1850,small_car,2005,manual,125000,2,petrol,no
2199,small_car,2008,manual,125000,10,petrol,no
370,small_car,1995,manual,150000,10,petrol,yes
250,small_car,1994,manual,125000,4,petrol,yes
7599,convertible,2006,manual,150000,9,diesel,no
1600,small_car,1996,manual,150000,8,diesel,no
9200,suv,2011,manual,50000,3,petrol,no
3850,small_car,2009,manual,70000,3,petrol,no
1299,small_car,2003,manual,90000,11,petrol,yes
7800,suv,2006,automatic,125000,6,petrol,no
4499,small_car,2005,manual,150000,10,petrol,no
3600,small_car,2009,manual,70000,9,petrol,no
6000,coupe,2004,manual,100000,9,petrol,no
2800,small_car,1999,manual,150000,7,petrol,no
700,small_car,1999,automatic,150000,10,petrol,yes
1550,small_car,2004,manual,70000,6,petrol,no
7800,suv,2004,automatic,150000,12,diesel,no
500,small_car,1997,manual,90000,12,petrol,no
4199,small_car,2012,manual,60000,11,petrol,no
1100,small_car,1998,manual,150000,12,petrol,no
3650,convertible,2001,manual,125000,2,petrol,no
3650,small_car,2003,automatic,80000,8,petrol,no
4800,convertible,2007,manual,150000,4,diesel,no
8300,convertible,2002,manual,150000,7,petrol,no
6900,small_car,2009,manual,150000,9,petrol,no
4950,small_car,2009,automatic,40000,9,petrol,no
8950,coupe,2004,manual,125000,10,petrol,no
8300,coupe,2014,automatic,20000,3,petrol,no
2850,small_car,2002,manual,70000,6,petrol,no
3000,suv,1998,automatic,150000,4,petrol,no
1399,convertible,1994,manual,150000,7,petrol,no
199,small_car,1996,manual,125000,4,petrol,no
3600,convertible,2006,manual,150000,6,petrol,no
2350,small_car,2005,manual,90000,2,petrol,no
600,small_car,1999,manual,100000,1,petrol,yes
1900,coupe,2003,manual,150000,0,petrol,no
990,small_car,1997,manual,150000,1,petrol,yes
4290,small_car,2007,manual,150000,4,petrol,no
1250,small_car,2001,manual,125000,3,petrol,no
3999,coupe,2007,automatic,60000,12,petrol,no
6700,convertible,2003,manual,150000,3,petrol,no
3500,suv,2006,manual,125000,4,petrol,yes
2000,convertible,1996,manual,125000,6,petrol,no
8300,convertible,2007,manual,125000,7,petrol,no
7990,small_car,2010,manual,40000,4,petrol,no
7900,convertible,2004,manual,125000,4,petrol,no
6790,small_car,2010,manual,125000,4,diesel,no
1400,small_car,1997,manual,125000,3,petrol,no
250,small_car,2000,manual,150000,0,petrol,yes
1200,small_car,2002,manual,150000,12,petrol,no
1150,small_car,1999,manual,125000,4,petrol,no
1211,small_car,2000,manual,150000,6,petrol,no
3750,convertible,2004,manual,150000,5,petrol,no
450,small_car,1997,manual,150000,11,petrol,no
2500,small_car,2001,manual,125000,7,diesel,no
320,small_car,1999,manual,150000,10,petrol,no
2500,small_car,2000,automatic,70000,3,petrol,no
4000,convertible,2002,manual,125000,4,petrol,no
6000,small_car,2011,manual,80000,1,petrol,no
1500,small_car,2006,manual,80000,7,petrol,no
1950,small_car,2003,manual,80000,9,petrol,no
3945,convertible,2003,automatic,150000,9,petrol,no
4600,small_car,2007,manual,90000,3,petrol,no
1450,convertible,2001,manual,150000,7,petrol,no
6750,small_car,2015,manual,10000,5,petrol,no
650,small_car,2003,manual,150000,10,diesel,no
6500,small_car,2013,manual,40000,6,petrol,no
999,small_car,1995,manual,150000,12,petrol,no
3900,small_car,2012,manual,125000,6,petrol,no
3899,small_car,2006,manual,125000,10,petrol,no
1690,small_car,2003,manual,150000,12,petrol,no
4500,convertible,2005,manual,125000,3,petrol,no
1900,suv,2002,manual,150000,8,diesel,yes
650,small_car,1992,manual,125000,4,petrol,no
500,small_car,1994,manual,150000,4,petrol,no
5500,suv,2004,automatic,150000,5,diesel,no
1890,small_car,2004,manual,125000,4,petrol,no
7850,small_car,2013,manual,20000,8,petrol,no
6000,small_car,2008,manual,100000,9,diesel,no
1700,small_car,2004,manual,150000,7,petrol,no
2200,small_car,2003,manual,125000,1,petrol,no
2800,convertible,2001,manual,150000,8,petrol,no
550,small_car,1996,manual,150000,7,petrol,no
3999,convertible,2001,automatic,150000,7,petrol,no
1000,small_car,1999,manual,150000,12,petrol,no
4200,small_car,2010,manual,80000,1,petrol,no
5190,small_car,2008,manual,125000,1,diesel,no
1950,small_car,2002,manual,150000,1,diesel,no
800,small_car,2002,manual,150000,9,petrol,no
4500,suv,2004,manual,150000,4,petrol,no
9980,coupe,2009,manual,60000,5,petrol,no
900,small_car,2000,automatic,150000,0,petrol,yes
2600,suv,1993,manual,80000,2,petrol,no
280,small_car,2001,manual,150000,2,petrol,no
3950,suv,2003,manual,150000,3,diesel,no
1899,small_car,2003,manual,150000,10,diesel,no
500,small_car,2001,manual,150000,7,petrol,no
7950,small_car,2012,manual,50000,4,petrol,no
1500,small_car,2003,manual,80000,3,petrol,yes
2699,coupe,2002,manual,150000,3,petrol,no
750,small_car,1995,manual,150000,2,petrol,yes
5300,convertible,2006,manual,60000,5,petrol,no
950,small_car,1997,manual,150000,1,petrol,no
950,small_car,1999,manual,150000,1,petrol,no
600,small_car,1997,manual,150000,11,petrol,no
799,coupe,1994,manual,150000,12,petrol,no
600,small_car,1997,manual,60000,3,petrol,no
550,small_car,1993,manual,150000,1,petrol,no
4300,small_car,2008,manual,90000,2,petrol,no
799,small_car,1998,manual,150000,0,petrol,no
2900,convertible,2003,automatic,125000,0,petrol,no
6750,coupe,2009,manual,50000,7,petrol,no
7900,small_car,2012,manual,20000,10,petrol,no
1999,coupe,1998,manual,150000,6,petrol,no
3750,small_car,2007,manual,100000,7,petrol,no
4600,small_car,2007,automatic,90000,7,petrol,no
580,small_car,1995,manual,150000,11,petrol,no
7900,convertible,2001,manual,150000,3,petrol,no
550,small_car,1997,manual,150000,7,petrol,yes
7750,convertible,2007,manual,50000,12,petrol,no
975,small_car,2001,manual,125000,4,petrol,no
1850,small_car,2002,manual,100000,7,petrol,no
7600,convertible,2010,automatic,70000,5,diesel,no
8500,convertible,2002,manual,60000,1,petrol,no
1999,small_car,2002,manual,150000,3,petrol,no
1200,small_car,1999,manual,150000,2,petrol,no
390,small_car,1997,manual,90000,12,petrol,no
700,small_car,2000,manual,150000,9,petrol,no
1350,small_car,2000,manual,150000,6,petrol,no
1600,coupe,1996,automatic,150000,10,petrol,no
650,small_car,2002,manual,150000,5,petrol,no
3500,convertible,2005,manual,125000,3,petrol,no
1800,small_car,2002,manual,125000,5,petrol,no
4150,convertible,2006,manual,125000,4,petrol,no
500,small_car,2003,manual,150000,0,petrol,yes
1850,small_car,2003,manual,90000,10,petrol,no
5000,coupe,2009,manual,90000,2,petrol,no
8999,small_car,2011,manual,60000,11,petrol,no
7700,coupe,2010,manual,150000,1,petrol,no
690,small_car,1998,manual,100000,10,petrol,yes
2345,convertible,1994,manual,150000,7,petrol,no
1699,small_car,2000,manual,150000,3,petrol,no
1000,coupe,2000,manual,150000,12,petrol,yes
1250,small_car,2011,manual,50000,9,petrol,yes
300,small_car,1997,manual,150000,11,petrol,yes
8990,suv,2008,automatic,100000,8,petrol,no
2300,small_car,2004,manual,100000,3,petrol,no
2000,small_car,1998,manual,50000,7,petrol,no
6399,convertible,2002,manual,150000,9,petrol,no
1300,small_car,2000,manual,150000,4,petrol,no
9400,small_car,2011,manual,40000,10,petrol,no
3590,small_car,2007,manual,90000,11,petrol,no
399,small_car,1998,manual,150000,9,petrol,no
3450,coupe,2006,manual,150000,7,petrol,no
5500,small_car,2009,automatic,90000,9,diesel,no
8000,suv,2008,automatic,100000,12,diesel,no
1799,small_car,2004,manual,150000,3,petrol,no
8000,small_car,2012,manual,60000,3,diesel,no
3500,coupe,1992,manual,150000,3,petrol,no
999,small_car,2000,manual,150000,9,petrol,no
7500,coupe,1990,automatic,125000,0,petrol,no
950,small_car,1997,manual,70000,5,petrol,no
1350,small_car,2002,manual,150000,12,petrol,no
1750,small_car,2001,manual,150000,8,petrol,no
550,small_car,2000,manual,150000,2,petrol,no
